pin,slack
dac_1/SIGMA_ADDER_0/sigma_register[4]:D,706
dac_1/SIGMA_ADDER_0/sigma_register[4]:Q,629
dac_0/SIGMA_ADDER_0/sigma_register[1]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[1]:CLK,572
dac_0/SIGMA_ADDER_0/sigma_register[1]:D,745
dac_0/SIGMA_ADDER_0/sigma_register[1]:Q,572
spi_slave_0/TxData[28]:ALn,
spi_slave_0/TxData[28]:CLK,2002
spi_slave_0/TxData[28]:D,2002
spi_slave_0/TxData[28]:Q,2002
spi_slave_0/TxData[28]:SLn,200
dac_1/SIGMA_ADDER_0/sigma_register[9]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[9]:CLK,724
dac_1/SIGMA_ADDER_0/sigma_register[9]:D,611
dac_1/SIGMA_ADDER_0/sigma_register[9]:Q,724
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_8:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_8:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_8:IPC,
dac_1/SIGMA_ADDER_0/sigma_register[1]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[1]:CLK,572
dac_1/SIGMA_ADDER_0/sigma_register[1]:D,745
dac_1/SIGMA_ADDER_0/sigma_register[1]:Q,572
spi_slave_0/RxdData[24]:ALn,
spi_slave_0/RxdData[24]:CLK,1994
spi_slave_0/RxdData[24]:D,1994
spi_slave_0/RxdData[24]:EN,468
spi_slave_0/RxdData[24]:Q,1994
dac_1/SIGMA_ADDER_0/temp_reg_cry_15:A,803
dac_1/SIGMA_ADDER_0/temp_reg_cry_15:B,744
dac_1/SIGMA_ADDER_0/temp_reg_cry_15:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_15:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_15:S,497
spi_slave_0/index[0]:ALn,
spi_slave_0/index[0]:CLK,-495
spi_slave_0/index[0]:D,-161
spi_slave_0/index[0]:EN,583
spi_slave_0/index[0]:Q,-495
dac_0/SIGMA_ADDER_0/temp_reg_cry_6:A,667
dac_0/SIGMA_ADDER_0/temp_reg_cry_6:B,573
dac_0/SIGMA_ADDER_0/temp_reg_cry_6:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_6:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_6:S,668
dac_0/SIGMA_ADDER_0/sigma_register[6]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[6]:CLK,667
dac_0/SIGMA_ADDER_0/sigma_register[6]:D,668
dac_0/SIGMA_ADDER_0/sigma_register[6]:Q,667
spi_slave_0/TxData[18]:ALn,
spi_slave_0/TxData[18]:CLK,2002
spi_slave_0/TxData[18]:D,2002
spi_slave_0/TxData[18]:Q,2002
spi_slave_0/TxData[18]:SLn,200
spi_slave_0/RxdData[2]:ALn,
spi_slave_0/RxdData[2]:CLK,1994
spi_slave_0/RxdData[2]:D,1994
spi_slave_0/RxdData[2]:EN,468
spi_slave_0/RxdData[2]:Q,1994
dac_1/SIGMA_ADDER_0/sigma_register[6]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[6]:CLK,667
dac_1/SIGMA_ADDER_0/sigma_register[6]:D,668
dac_1/SIGMA_ADDER_0/sigma_register[6]:Q,667
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3:A,985
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3:B,895
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3:C,-504
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3:D,-351
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3:Y,-504
dac_0/SIGMA_ADDER_0/temp_reg_cry_14:A,803
dac_0/SIGMA_ADDER_0/temp_reg_cry_14:B,725
dac_0/SIGMA_ADDER_0/temp_reg_cry_14:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_14:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_14:S,516
dac_0/SIGMA_ADDER_0/temp_reg_cry_11:A,762
dac_0/SIGMA_ADDER_0/temp_reg_cry_11:B,668
dac_0/SIGMA_ADDER_0/temp_reg_cry_11:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_11:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_11:S,573
FCCC_C0_0/FCCC_C0_0/GL0_INST/U0_RGB1:An,
FCCC_C0_0/FCCC_C0_0/GL0_INST/U0_RGB1:YL,
dac_0/SIGMA_ADDER_0/sigma_register[2]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[2]:CLK,591
dac_0/SIGMA_ADDER_0/sigma_register[2]:D,744
dac_0/SIGMA_ADDER_0/sigma_register[2]:Q,591
spi_slave_0/RxdData[31]:ALn,
spi_slave_0/RxdData[31]:CLK,
spi_slave_0/RxdData[31]:D,1994
spi_slave_0/RxdData[31]:EN,468
spi_slave_0/RxdData[31]:Q,
spi_slave_0/RxdData[4]:ALn,
spi_slave_0/RxdData[4]:CLK,1994
spi_slave_0/RxdData[4]:D,1994
spi_slave_0/RxdData[4]:EN,468
spi_slave_0/RxdData[4]:Q,1994
spi_slave_0/RxdData[19]:ALn,
spi_slave_0/RxdData[19]:CLK,1994
spi_slave_0/RxdData[19]:D,1994
spi_slave_0/RxdData[19]:EN,468
spi_slave_0/RxdData[19]:Q,1994
dac_1/SIGMA_ADDER_0/sigma_register[2]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[2]:CLK,591
dac_1/SIGMA_ADDER_0/sigma_register[2]:D,744
dac_1/SIGMA_ADDER_0/sigma_register[2]:Q,591
dac_1/SIGMA_ADDER_0/temp_reg_cry_0:A,553
dac_1/SIGMA_ADDER_0/temp_reg_cry_0:B,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_0:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_0:Y,885
data_receiver_0/data[12]:ALn,
data_receiver_0/data[12]:CLK,
data_receiver_0/data[12]:D,
data_receiver_0/data[12]:Q,
data_receiver_0/dac_reset_RNILDSA/U0_RGB1:An,
data_receiver_0/dac_reset_RNILDSA/U0_RGB1:YL,-921
dac_1/DELTA_ADDER_0/data_out_1[8]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[8]:CLK,611
dac_1/DELTA_ADDER_0/data_out_1[8]:D,
dac_1/DELTA_ADDER_0/data_out_1[8]:Q,611
dac_0/DELTA_ADDER_0/data_out_1[15]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[15]:CLK,744
dac_0/DELTA_ADDER_0/data_out_1[15]:D,
dac_0/DELTA_ADDER_0/data_out_1[15]:Q,744
dac_0/SIGMA_ADDER_0/temp_reg_cry_0:A,553
dac_0/SIGMA_ADDER_0/temp_reg_cry_0:B,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_0:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_0:Y,885
spi_slave_0/SCLK_old:ALn,
spi_slave_0/SCLK_old:CLK,-429
spi_slave_0/SCLK_old:D,1955
spi_slave_0/SCLK_old:Q,-429
spi_slave_0/RxdData[26]:ALn,
spi_slave_0/RxdData[26]:CLK,1994
spi_slave_0/RxdData[26]:D,1994
spi_slave_0/RxdData[26]:EN,468
spi_slave_0/RxdData[26]:Q,1994
dac_0/SIGMA_ADDER_0/temp_reg_cry_16:A,803
dac_0/SIGMA_ADDER_0/temp_reg_cry_16:B,737
dac_0/SIGMA_ADDER_0/temp_reg_cry_16:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_16:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_16:S,478
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_10:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_10:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_12:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_12:IPC,
dac_1/SIGMA_ADDER_0/temp_reg_cry_10:A,743
dac_1/SIGMA_ADDER_0/temp_reg_cry_10:B,649
dac_1/SIGMA_ADDER_0/temp_reg_cry_10:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_10:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_10:S,592
spi_slave_0/TxData[27]:ALn,
spi_slave_0/TxData[27]:CLK,2002
spi_slave_0/TxData[27]:D,2002
spi_slave_0/TxData[27]:Q,2002
spi_slave_0/TxData[27]:SLn,200
dac_1/SIGMA_ADDER_0/temp_reg_cry_2:A,591
dac_1/SIGMA_ADDER_0/temp_reg_cry_2:B,497
dac_1/SIGMA_ADDER_0/temp_reg_cry_2:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_2:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_2:S,744
ip_interface_inst:B,
dac_1/SIGMA_ADDER_0/sigma_register[15]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[15]:CLK,803
dac_1/SIGMA_ADDER_0/sigma_register[15]:D,497
dac_1/SIGMA_ADDER_0/sigma_register[15]:Q,803
data_receiver_0/data[16]:ALn,
data_receiver_0/data[16]:CLK,
data_receiver_0/data[16]:D,
data_receiver_0/data[16]:Q,
spi_slave_0/SS_latched_RNIF5U21:A,637
spi_slave_0/SS_latched_RNIF5U21:B,579
spi_slave_0/SS_latched_RNIF5U21:C,468
spi_slave_0/SS_latched_RNIF5U21:Y,468
dac_0/SIGMA_ADDER_0/sigma_register[16]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[16]:CLK,803
dac_0/SIGMA_ADDER_0/sigma_register[16]:D,478
dac_0/SIGMA_ADDER_0/sigma_register[16]:Q,803
OSC_C0_0/OSC_C0_0/I_RCOSC_25_50MHZ/U0:CLKOUT,
spi_slave_0/TxData[2]:ALn,
spi_slave_0/TxData[2]:CLK,2002
spi_slave_0/TxData[2]:D,2002
spi_slave_0/TxData[2]:Q,2002
spi_slave_0/TxData[2]:SLn,200
spi_ss_ibuf/U0/U_IOPAD:PAD,
spi_ss_ibuf/U0/U_IOPAD:Y,
data_receiver_0/data[11]:ALn,
data_receiver_0/data[11]:CLK,
data_receiver_0/data[11]:D,
data_receiver_0/data[11]:Q,
spi_slave_0/TxData[17]:ALn,
spi_slave_0/TxData[17]:CLK,2002
spi_slave_0/TxData[17]:D,2002
spi_slave_0/TxData[17]:Q,2002
spi_slave_0/TxData[17]:SLn,200
spi_slave_0/RxdData[1]:ALn,
spi_slave_0/RxdData[1]:CLK,1994
spi_slave_0/RxdData[1]:D,1994
spi_slave_0/RxdData[1]:EN,468
spi_slave_0/RxdData[1]:Q,1994
dac_0/SIGMA_ADDER_0/temp_reg_cry_2:A,591
dac_0/SIGMA_ADDER_0/temp_reg_cry_2:B,497
dac_0/SIGMA_ADDER_0/temp_reg_cry_2:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_2:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_2:S,744
spi_mosi_ibuf/U0/U_IOINFF:A,
spi_mosi_ibuf/U0/U_IOINFF:Y,
dac_0/SIGMA_ADDER_0/temp_reg_cry_15:A,803
dac_0/SIGMA_ADDER_0/temp_reg_cry_15:B,744
dac_0/SIGMA_ADDER_0/temp_reg_cry_15:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_15:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_15:S,497
spi_slave_0/RxdData[10]:ALn,
spi_slave_0/RxdData[10]:CLK,1994
spi_slave_0/RxdData[10]:D,1994
spi_slave_0/RxdData[10]:EN,468
spi_slave_0/RxdData[10]:Q,1994
dac_0/DELTA_ADDER_0/data_out_1[12]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[12]:CLK,687
dac_0/DELTA_ADDER_0/data_out_1[12]:D,
dac_0/DELTA_ADDER_0/data_out_1[12]:Q,687
spi_slave_0/index_n1_i_0:A,-137
spi_slave_0/index_n1_i_0:B,-235
spi_slave_0/index_n1_i_0:C,-294
spi_slave_0/index_n1_i_0:D,-463
spi_slave_0/index_n1_i_0:Y,-463
dac_1/SIGMA_ADDER_0/temp_reg_s_17:B,737
dac_1/SIGMA_ADDER_0/temp_reg_s_17:C,640
dac_1/SIGMA_ADDER_0/temp_reg_s_17:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_s_17:S,459
dac_0/DELTA_ADDER_0/data_out_1[13]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[13]:CLK,706
dac_0/DELTA_ADDER_0/data_out_1[13]:D,
dac_0/DELTA_ADDER_0/data_out_1[13]:Q,706
spi_slave_0/RxdData[28]:ALn,
spi_slave_0/RxdData[28]:CLK,1994
spi_slave_0/RxdData[28]:D,1994
spi_slave_0/RxdData[28]:EN,468
spi_slave_0/RxdData[28]:Q,1994
dac_1/SIGMA_ADDER_0/sigma_register[14]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[14]:CLK,803
dac_1/SIGMA_ADDER_0/sigma_register[14]:D,516
dac_1/SIGMA_ADDER_0/sigma_register[14]:Q,803
dac_0/DELTA_ADDER_0/data_out_1[3]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[3]:CLK,516
dac_0/DELTA_ADDER_0/data_out_1[3]:D,
dac_0/DELTA_ADDER_0/data_out_1[3]:Q,516
spi_miso_obuf/U0/U_IOPAD:D,
spi_miso_obuf/U0/U_IOPAD:E,
spi_miso_obuf/U0/U_IOPAD:PAD,
dac_out_left_obuf/U0/U_IOENFF:A,
dac_out_left_obuf/U0/U_IOENFF:Y,
data_receiver_0/data[10]:ALn,
data_receiver_0/data[10]:CLK,
data_receiver_0/data[10]:D,
data_receiver_0/data[10]:Q,
dac_1/DELTA_ADDER_0/data_out_1[11]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[11]:CLK,668
dac_1/DELTA_ADDER_0/data_out_1[11]:D,
dac_1/DELTA_ADDER_0/data_out_1[11]:Q,668
dac_1/DELTA_ADDER_0/data_out_1[13]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[13]:CLK,706
dac_1/DELTA_ADDER_0/data_out_1[13]:D,
dac_1/DELTA_ADDER_0/data_out_1[13]:Q,706
dac_0/SIGMA_ADDER_0/sigma_register[15]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[15]:CLK,803
dac_0/SIGMA_ADDER_0/sigma_register[15]:D,497
dac_0/SIGMA_ADDER_0/sigma_register[15]:Q,803
AND2_0_RNIKOS1/U0:An,
AND2_0_RNIKOS1/U0:YNn,
spi_slave_0/RxdData[6]:ALn,
spi_slave_0/RxdData[6]:CLK,1994
spi_slave_0/RxdData[6]:D,1994
spi_slave_0/RxdData[6]:EN,468
spi_slave_0/RxdData[6]:Q,1994
dac_0/SIGMA_ADDER_0/temp_reg_cry_13:A,800
dac_0/SIGMA_ADDER_0/temp_reg_cry_13:B,706
dac_0/SIGMA_ADDER_0/temp_reg_cry_13:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_13:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_13:S,535
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_9:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_9:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_9:IPC,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_16:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_16:IPC,
dac_0/SIGMA_ADDER_0/sigma_register[11]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[11]:CLK,762
dac_0/SIGMA_ADDER_0/sigma_register[11]:D,573
dac_0/SIGMA_ADDER_0/sigma_register[11]:Q,762
spi_mosi_ibuf/U0/U_IOPAD:PAD,
spi_mosi_ibuf/U0/U_IOPAD:Y,
dac_0/DELTA_ADDER_0/data_out_1[4]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[4]:CLK,535
dac_0/DELTA_ADDER_0/data_out_1[4]:D,
dac_0/DELTA_ADDER_0/data_out_1[4]:Q,535
spi_slave_0/SPI_DONE_inferred_clock_RNIDF25/U0_RGB1:An,
spi_slave_0/SPI_DONE_inferred_clock_RNIDF25/U0_RGB1:YL,
spi_slave_0/RxdData[27]:ALn,
spi_slave_0/RxdData[27]:CLK,1994
spi_slave_0/RxdData[27]:D,1994
spi_slave_0/RxdData[27]:EN,468
spi_slave_0/RxdData[27]:Q,1994
dac_0/DELTA_ADDER_0/data_out_1[16]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[16]:CLK,737
dac_0/DELTA_ADDER_0/data_out_1[16]:D,1986
dac_0/DELTA_ADDER_0/data_out_1[16]:Q,737
dac_1/SIGMA_ADDER_0/temp_reg_cry_5:A,648
dac_1/SIGMA_ADDER_0/temp_reg_cry_5:B,554
dac_1/SIGMA_ADDER_0/temp_reg_cry_5:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_5:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_5:S,687
spi_slave_0/SPI_DONE:ALn,
spi_slave_0/SPI_DONE:CLK,
spi_slave_0/SPI_DONE:D,-504
spi_slave_0/SPI_DONE:Q,
dac_out_right_obuf/U0/U_IOPAD:D,
dac_out_right_obuf/U0/U_IOPAD:E,
dac_out_right_obuf/U0/U_IOPAD:PAD,
dac_0/SIGMA_ADDER_0/sigma_register[13]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[13]:CLK,800
dac_0/SIGMA_ADDER_0/sigma_register[13]:D,535
dac_0/SIGMA_ADDER_0/sigma_register[13]:Q,800
data_receiver_0/data[28]:ALn,
data_receiver_0/data[28]:CLK,
data_receiver_0/data[28]:D,
data_receiver_0/data[28]:Q,
spi_slave_0/TxData[20]:ALn,
spi_slave_0/TxData[20]:CLK,2002
spi_slave_0/TxData[20]:D,2002
spi_slave_0/TxData[20]:Q,2002
spi_slave_0/TxData[20]:SLn,200
spi_slave_0/index_1_sqmuxa_i_0_o3:A,-393
spi_slave_0/index_1_sqmuxa_i_0_o3:B,-429
spi_slave_0/index_1_sqmuxa_i_0_o3:Y,-429
data_receiver_0/data[19]:ALn,
data_receiver_0/data[19]:CLK,
data_receiver_0/data[19]:D,
data_receiver_0/data[19]:Q,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_17:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_17:IPC,
data_receiver_0/data[5]:ALn,
data_receiver_0/data[5]:CLK,
data_receiver_0/data[5]:D,
data_receiver_0/data[5]:Q,
spi_slave_0/TxData[30]:ALn,
spi_slave_0/TxData[30]:CLK,2002
spi_slave_0/TxData[30]:D,2002
spi_slave_0/TxData[30]:Q,2002
spi_slave_0/TxData[30]:SLn,200
data_receiver_0/data[31]:ALn,
data_receiver_0/data[31]:CLK,
data_receiver_0/data[31]:D,
data_receiver_0/data[31]:Q,
dac_0/SIGMA_ADDER_0/temp_reg_cry_5:A,648
dac_0/SIGMA_ADDER_0/temp_reg_cry_5:B,554
dac_0/SIGMA_ADDER_0/temp_reg_cry_5:FCI,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_5:FCO,459
dac_0/SIGMA_ADDER_0/temp_reg_cry_5:S,687
dac_0/SIGMA_ADDER_0/sigma_register[10]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[10]:CLK,743
dac_0/SIGMA_ADDER_0/sigma_register[10]:D,592
dac_0/SIGMA_ADDER_0/sigma_register[10]:Q,743
spi_slave_0/TxData[6]:ALn,
spi_slave_0/TxData[6]:CLK,2002
spi_slave_0/TxData[6]:D,2002
spi_slave_0/TxData[6]:Q,2002
spi_slave_0/TxData[6]:SLn,200
dac_1/SIGMA_ADDER_0/temp_reg_cry_16:A,803
dac_1/SIGMA_ADDER_0/temp_reg_cry_16:B,737
dac_1/SIGMA_ADDER_0/temp_reg_cry_16:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_16:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_16:S,478
spi_slave_0/TxData[10]:ALn,
spi_slave_0/TxData[10]:CLK,2002
spi_slave_0/TxData[10]:D,2002
spi_slave_0/TxData[10]:Q,2002
spi_slave_0/TxData[10]:SLn,200
spi_slave_0/SCLK_latched:ALn,
spi_slave_0/SCLK_latched:CLK,-504
spi_slave_0/SCLK_latched:D,
spi_slave_0/SCLK_latched:Q,-504
spi_slave_0/RxdData[23]:ALn,
spi_slave_0/RxdData[23]:CLK,1994
spi_slave_0/RxdData[23]:D,1994
spi_slave_0/RxdData[23]:EN,468
spi_slave_0/RxdData[23]:Q,1994
spi_slave_0/MOSI_latched:ALn,
spi_slave_0/MOSI_latched:CLK,2002
spi_slave_0/MOSI_latched:D,
spi_slave_0/MOSI_latched:Q,2002
spi_slave_0/RxdData[15]:ALn,
spi_slave_0/RxdData[15]:CLK,1994
spi_slave_0/RxdData[15]:D,1994
spi_slave_0/RxdData[15]:EN,468
spi_slave_0/RxdData[15]:Q,1994
dac_1/SIGMA_ADDER_0/temp_reg_cry_14:A,803
dac_1/SIGMA_ADDER_0/temp_reg_cry_14:B,725
dac_1/SIGMA_ADDER_0/temp_reg_cry_14:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_14:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_14:S,516
dac_1/SIGMA_ADDER_0/temp_reg_cry_12:A,781
dac_1/SIGMA_ADDER_0/temp_reg_cry_12:B,687
dac_1/SIGMA_ADDER_0/temp_reg_cry_12:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_12:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_12:S,554
spi_slave_0/index_n4_i:A,-161
spi_slave_0/index_n4_i:B,883
spi_slave_0/index_n4_i:C,-495
spi_slave_0/index_n4_i:Y,-495
spi_slave_0/RxdData[9]:ALn,
spi_slave_0/RxdData[9]:CLK,1994
spi_slave_0/RxdData[9]:D,1994
spi_slave_0/RxdData[9]:EN,468
spi_slave_0/RxdData[9]:Q,1994
dac_1/DELTA_ADDER_0/data_out_1[12]:ALn,-921
dac_1/DELTA_ADDER_0/data_out_1[12]:CLK,687
dac_1/DELTA_ADDER_0/data_out_1[12]:D,
dac_1/DELTA_ADDER_0/data_out_1[12]:Q,687
dac_0/DELTA_ADDER_0/data_out_1[1]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[1]:CLK,478
dac_0/DELTA_ADDER_0/data_out_1[1]:D,
dac_0/DELTA_ADDER_0/data_out_1[1]:Q,478
data_receiver_0/data[30]:ALn,
data_receiver_0/data[30]:CLK,
data_receiver_0/data[30]:D,
data_receiver_0/data[30]:Q,
data_receiver_0/data[24]:ALn,
data_receiver_0/data[24]:CLK,
data_receiver_0/data[24]:D,
data_receiver_0/data[24]:Q,
spi_slave_0/SS_latched_RNIF5U21_0:A,363
spi_slave_0/SS_latched_RNIF5U21_0:B,255
spi_slave_0/SS_latched_RNIF5U21_0:C,200
spi_slave_0/SS_latched_RNIF5U21_0:Y,200
spi_slave_0/TxData[22]:ALn,
spi_slave_0/TxData[22]:CLK,2002
spi_slave_0/TxData[22]:D,2002
spi_slave_0/TxData[22]:Q,2002
spi_slave_0/TxData[22]:SLn,200
dac_0/SIGMA_ADDER_0/sigma_register[3]:ALn,-921
dac_0/SIGMA_ADDER_0/sigma_register[3]:CLK,610
dac_0/SIGMA_ADDER_0/sigma_register[3]:D,725
dac_0/SIGMA_ADDER_0/sigma_register[3]:Q,610
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_3:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_3:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_3:IPC,
spi_ss_ibuf/U0/U_IOINFF:A,
spi_ss_ibuf/U0/U_IOINFF:Y,
dac_out_left_obuf/U0/U_IOPAD:D,
dac_out_left_obuf/U0/U_IOPAD:E,
dac_out_left_obuf/U0/U_IOPAD:PAD,
dac_1/SIGMA_ADDER_0/sigma_register[3]:ALn,-921
dac_1/SIGMA_ADDER_0/sigma_register[3]:CLK,610
dac_1/SIGMA_ADDER_0/sigma_register[3]:D,725
dac_1/SIGMA_ADDER_0/sigma_register[3]:Q,610
SYSRESET_0/INST_SYSRESET_FF_IP:DEVRST_N,
SYSRESET_0/INST_SYSRESET_FF_IP:FF_TO_START,
SYSRESET_0/INST_SYSRESET_FF_IP:POWER_ON_RESET_N,
SYSRESET_0/INST_SYSRESET_FF_IP:UTDO,
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_1_0:A,-314
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_1_0:B,-351
spi_slave_0/SPI_DONE_0_sqmuxa_0_a3_1_0:Y,-351
dac_0/DELTA_ADDER_0/data_out_1[2]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[2]:CLK,497
dac_0/DELTA_ADDER_0/data_out_1[2]:D,
dac_0/DELTA_ADDER_0/data_out_1[2]:Q,497
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_2:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_2:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_2:IPC,
spi_slave_0/TxData[12]:ALn,
spi_slave_0/TxData[12]:CLK,2002
spi_slave_0/TxData[12]:D,2002
spi_slave_0/TxData[12]:Q,2002
spi_slave_0/TxData[12]:SLn,200
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_11:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_11:IPB,
dac_1/SIGMA_ADDER_0/temp_reg_cry_11:A,762
dac_1/SIGMA_ADDER_0/temp_reg_cry_11:B,668
dac_1/SIGMA_ADDER_0/temp_reg_cry_11:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_11:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_11:S,573
data_receiver_0/data[25]:ALn,
data_receiver_0/data[25]:CLK,
data_receiver_0/data[25]:D,
data_receiver_0/data[25]:Q,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_15:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_15:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_15:IPC,
spi_miso_obuf/U0/U_IOENFF:A,
spi_miso_obuf/U0/U_IOENFF:Y,
dac_1/SIGMA_ADDER_0/temp_reg_cry_8:A,705
dac_1/SIGMA_ADDER_0/temp_reg_cry_8:B,611
dac_1/SIGMA_ADDER_0/temp_reg_cry_8:FCI,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_8:FCO,459
dac_1/SIGMA_ADDER_0/temp_reg_cry_8:S,630
spi_slave_0/index[4]:ALn,
spi_slave_0/index[4]:CLK,883
spi_slave_0/index[4]:D,-495
spi_slave_0/index[4]:EN,583
spi_slave_0/index[4]:Q,883
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_14:IPA,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_14:IPB,
FCCC_C0_0/FCCC_C0_0/CCC_INST/IP_INTERFACE_14:IPC,
dac_0/DELTA_ADDER_0/data_out_1[7]:ALn,-921
dac_0/DELTA_ADDER_0/data_out_1[7]:CLK,592
dac_0/DELTA_ADDER_0/data_out_1[7]:D,
